module,clock gates,cells before,cells difference,cells after,a211oi_1 before,a21oi_1 before,a22o_1 before,a22oi_1 before,a211oi_1 after,a21oi_1 after,a22o_1 after,a22oi_1 after,aoi/ao difference
blabla,      24,   10913,    9955,-958,      25,     321,     803,    1357,      20,     559,     385,     324,-1218
chacha,      52,   10501,    9828,-673,      43,     821,    1269,     852,      34,     557,       1,      75,-2318
ldpc_decoder_802_3an,    2048,   41059,   44897,3838,     375,    2139,      37,    1486,     190,    2389,     113,     471,-874
ldpcenc,      28,    8800,    7590,-1210,       5,    1136,       0,     206,      20,     141,       0,     162,-1024
PPU,     375,    9104,    5849,-3255,       3,     887,      47,     587,       1,     323,      75,     368,-757
y_huff,     450,   11106,    8690,-2416,     292,    1800,     229,    1272,      21,     341,     751,      11,-2469
y_quantizer,     256,    8281,    5722,-2559,       0,       0,       0,       0,       0,       0,       0,       0,0
y_dct,     247,   96821,   91260,-5561,     884,    9282,      81,    1282,     181,    6954,      58,     384,-3952
jpeg_encoder,     258,   12465,    8736,-3729,      31,     513,      40,     160,      33,     214,      46,     147,-304
sha512,      74,   19728,   17133,-2595,      70,    1199,      29,     550,      32,    1113,    1051,     582,930
picorv32a,     122,   14370,   12512,-1858,     102,    1142,      22,      93,     132,     952,      26,     104,-145
riscv_top_151,      53,    8539,    8186,-353,      27,     336,     607,      65,      86,     422,     667,      59,199
genericfir,       5,    1150,    1091,-59,      51,      37,       1,       8,       1,      55,       3,       4,-34
NfiVe32_RF,      32,    3362,    2334,-1028,       0,      38,       0,      16,       7,      33,       0,       9,-5
rf_64x64,      64,   13461,    9572,-3889,      32,     412,       4,     209,      24,     324,       3,     280,-26
