module,all cells leakage before at 0.1,all cells power before at 0.1,ff leakage before at 0.1,ff power before at 0.1,ff leakage before at 1.0,ff power before at 1.0,total power before,all cells leakage after at 0.1,all cells power after at 0.1,ff leakage after at 0.1,ff power after at 0.1,ff leakage after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
blabla,4.49e-08,0.00158,1.3588400000000000269e-08,0.0010935489999999999975,1.3588400000000000269e-08,0.0018570219999999999903,0.0023434729999999999928,4.59e-08,0.00175,1.3588400000000000269e-08,0.0010923729999999999887,1.3588400000000000269e-08,0.0010504319999999999991,0.0017080590000000000105,0.00063541399999999998236,27.114201870471730816 %
chacha,4.35e-08,0.00432,1.6356720000000000396e-08,0.003438430000000000054,1.6356720000000000396e-08,0.006013569999999999983,0.006895139999999999929,4.21e-08,0.00479,1.6356720000000000396e-08,0.0034224699999999999893,1.6356720000000000396e-08,0.003291439999999999991,0.004658970000000000002,0.0022361699999999999273,32.43110364691652309 %
ldpc_decoder_802_3an,1.23e-07,0.0025,1.7899520000000000333e-08,0.0012775449999999999972,1.7899520000000000333e-08,0.002902020000000000008,0.004124475000000000011,1.33e-07,0.00438,1.7899520000000000333e-08,0.001267030999999999998,1.7899520000000000333e-08,0.0011820459999999999862,0.004295014999999999988,-0.00017053999999999997697,-4.1348292813024682298 %
ldpcenc,7.46e-08,0.00954,1.1928120000000000113e-08,0.0054074799999999999864,1.1928120000000000113e-08,0.014714910000000000138,0.018847430000000000152,6.91e-08,0.0101,1.1962230000000000115e-08,0.0053843099999999999656,1.1962230000000000115e-08,0.004886679999999999984,0.009602370000000000019,0.009245060000000000133,49.052098880324797908 %
PPU,4.38e-08,0.0402,2.4366280000000000764e-08,0.036119499999999999727,2.4366280000000000764e-08,0.059203499999999999785,0.063284000000000000056,3.58e-08,0.0495,2.4366280000000000764e-08,0.03543490035448000094,2.4366280000000000764e-08,0.03430010035448000072,0.048365199999999999783,0.014918800000000000273,23.574363188167625719 %
y_huff,3.76e-08,0.0086,1.9834000000000000555e-08,0.0073864900000000001735,1.9834000000000000555e-08,0.012397049999999999921,0.013610559999999999748,3.64e-08,0.0108,1.9994360000000000563e-08,0.0073601200000000001177,1.9994360000000000563e-08,0.0071244700000000001377,0.01056435000000000002,0.0030462099999999997276,22.381224578562526333 %
y_quantizer,4.53e-08,0.142,2.3800800000000000738e-08,0.12432619999999999796,2.3800800000000000738e-08,0.20957440000000000182,0.22724820000000000386,3.12e-08,0.156,2.3800800000000000738e-08,0.121384199999999996665,2.3800800000000000738e-08,0.11804389999999999841,0.15265970000000000174,0.074588500000000002116,32.822482202279270352 %
y_dct,2.7e-07,0.022,4.5061159999999998795e-08,0.012172230000000000134,4.5061159999999998795e-08,0.023932049999999999863,0.03375981999999999973,2.68e-07,0.0231,4.5255279999999998766e-08,0.01211108000000000023,4.5255279999999998766e-08,0.0115170800000000004215,0.022506000000000000192,0.011253819999999999539,33.334952615268682204 %
jpeg_encoder,2.1e-07,0.0212,3.9753319999999999608e-08,0.013459150000000000063,3.9753319999999999627e-08,0.026751369999999999695,0.03449221999999999963,2.02e-07,0.0244,3.97533199999999996e-08,0.013372179999999999755,3.9753319999999999566e-08,0.012682710000000000448,0.023710530000000000694,0.010781689999999998936,31.258324340967322635 %
sha512,7.47e-08,0.00503,3.2096070000000000853e-08,0.0040816200000000000396,3.2096070000000000853e-08,0.0067365900000000001063,0.0076849700000000000665,6.48e-08,0.00545,3.2096070000000000853e-08,0.0040440699999999999137,3.2096070000000000853e-08,0.003916660000000000058,0.005322590000000000144,0.0023623799999999999225,30.74026313700638912 %
picorv32a,4.24e-08,0.00389,1.36052800000000002694e-08,0.0030171799999999999733,1.36052800000000002694e-08,0.0055528399999999999364,0.0064256599999999999628,3.94e-08,0.00434,1.3664360000000000272e-08,0.0029571079999999999611,1.3664360000000000272e-08,0.0028262797999999999831,0.004209171800000000022,0.0022164881999999999406,34.494327430956508024 %
riscv_top_151,3e-08,0.00103,6.5663199999999999885e-09,0.0007162979999999999974,6.5663199999999999885e-09,0.0014607500000000000032,0.0017744520000000000058,2.86e-08,0.00114,6.5831999999999999885e-09,0.00071582299999999999655,6.5831999999999999885e-09,0.0006755079999999999989,0.0010996850000000000024,0.0006747670000000000034,38.026782353087037646 %
genericfir,4.51e-07,0.0511,9.830911999999999105e-08,0.03530031000000000466,9.830911999999999105e-08,0.06845339000000000305,0.08425307999999999839,4.44e-07,0.0578,9.830911999999999105e-08,0.03497637000000000143,9.830911999999999105e-08,0.033300539999999999876,0.056124169999999998444,0.028128909999999999947,33.38620973856386079 %
NfiVe32_RF,1.76e-08,0.005,8.6425600000000000415e-09,0.004484330000000000012,8.6425600000000000415e-09,0.0073273100000000000418,0.00784298000000000003,1.4e-08,0.00553,8.6425600000000000415e-09,0.0043165202700800000146,8.6425600000000000415e-09,0.0041775702700799999693,0.005391049999999999955,0.0024519300000000000752,31.262734317823073191 %
rf_64x64,7e-08,0.02,3.457024000000000032e-08,0.01794337000000000088,3.457024000000000032e-08,0.029349999999999999336,0.031406629999999998458,5.31e-08,0.0218,3.457024000000000032e-08,0.017551630540159999968,3.457024000000000032e-08,0.016986560540160000648,0.02123493000000000068,0.010171699999999997778,32.387110619636676326 %
