module,all cells power before at 0.1,flipflops power before at 0.1,flipflops power before at 1.0,total power before,all cells power after at 0.1,flipflops power after at 0.1,flipflops power after at 0.05,total power after,total power difference,percentage reduction
blabla,0.00158,0.0010935489999999999975,0.0018570219999999999903,0.0023434729999999999928,0.00175,0.0010923729999999999887,0.0010504319999999999991,0.0017080590000000000105,0.00063541399999999998236,27.114201870471730816 %
chacha,0.00432,0.003438430000000000054,0.006013569999999999983,0.006895139999999999929,0.00479,0.0034224699999999999893,0.003291439999999999991,0.004658970000000000002,0.0022361699999999999273,32.43110364691652309 %
ldpc_decoder_802_3an,0.0025,0.0012775449999999999972,0.002902020000000000008,0.004124475000000000011,0.00438,0.001267030999999999998,0.0011820459999999999862,0.004295014999999999988,-0.00017053999999999997697,-4.1348292813024682298 %
ldpcenc,0.00954,0.0054074799999999999864,0.014714910000000000138,0.018847430000000000152,0.0101,0.0053843099999999999656,0.004886679999999999984,0.009602370000000000019,0.009245060000000000133,49.052098880324797908 %
PPU,0.0402,0.036119499999999999727,0.059203499999999999785,0.063284000000000000056,0.0495,0.03543490035448000094,0.03430010035448000072,0.048365199999999999783,0.014918800000000000273,23.574363188167625719 %
y_huff,0.0086,0.0073864900000000001735,0.012397049999999999921,0.013610559999999999748,0.0108,0.0073601200000000001177,0.0071244700000000001377,0.01056435000000000002,0.0030462099999999997276,22.381224578562526333 %
y_quantizer,0.142,0.12432619999999999796,0.20957440000000000182,0.22724820000000000386,0.156,0.121384199999999996665,0.11804389999999999841,0.15265970000000000174,0.074588500000000002116,32.822482202279270352 %
y_dct,0.022,0.012172230000000000134,0.023932049999999999863,0.03375981999999999973,0.0231,0.01211108000000000023,0.0115170800000000004215,0.022506000000000000192,0.011253819999999999539,33.334952615268682204 %
jpeg_encoder,0.0212,0.013459150000000000063,0.026751369999999999695,0.03449221999999999963,0.0244,0.013372179999999999755,0.012682710000000000448,0.023710530000000000694,0.010781689999999998936,31.258324340967322635 %
sha512,0.00503,0.0040816200000000000396,0.0067365900000000001063,0.0076849700000000000665,0.00545,0.0040440699999999999137,0.003916660000000000058,0.005322590000000000144,0.0023623799999999999225,30.74026313700638912 %
picorv32a,0.00389,0.0030171799999999999733,0.0055528399999999999364,0.0064256599999999999628,0.00434,0.0029571079999999999611,0.0028262797999999999831,0.004209171800000000022,0.0022164881999999999406,34.494327430956508024 %
riscv_top_151,0.00103,0.0007162979999999999974,0.0014607500000000000032,0.0017744520000000000058,0.00114,0.00071582299999999999655,0.0006755079999999999989,0.0010996850000000000024,0.0006747670000000000034,38.026782353087037646 %
genericfir,0.0511,0.03530031000000000466,0.06845339000000000305,0.08425307999999999839,0.0578,0.03497637000000000143,0.033300539999999999876,0.056124169999999998444,0.028128909999999999947,33.38620973856386079 %
NfiVe32_RF,0.005,0.004484330000000000012,0.0073273100000000000418,0.00784298000000000003,0.00553,0.0043165202700800000146,0.0041775702700799999693,0.005391049999999999955,0.0024519300000000000752,31.262734317823073191 %
rf_64x64,0.02,0.01794337000000000088,0.029349999999999999336,0.031406629999999998458,0.0218,0.017551630540159999968,0.016986560540160000648,0.02123493000000000068,0.010171699999999997778,32.387110619636676326 %
