   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   6.61e-07   9.26e-06   8.44e-12   9.92e-06 _14381_
   6.52e-07   9.83e-07   8.44e-12   1.64e-06 _13604_
   6.61e-07   5.82e-08   8.44e-12   7.19e-07 _13673_
   6.61e-07   5.31e-08   8.44e-12   7.14e-07 _13679_
   6.61e-07   5.27e-08   8.44e-12   7.14e-07 _13688_
   6.61e-07   5.22e-08   8.44e-12   7.13e-07 _13698_
   6.61e-07   5.14e-08   8.44e-12   7.12e-07 _13644_
   6.61e-07   4.90e-08   8.44e-12   7.10e-07 _13640_
   6.61e-07   4.85e-08   8.44e-12   7.09e-07 _13665_
   6.61e-07   4.82e-08   8.44e-12   7.09e-07 _13699_
   6.61e-07   4.79e-08   8.44e-12   7.09e-07 _13670_
   6.61e-07   4.69e-08   8.44e-12   7.08e-07 _13701_
   6.61e-07   4.68e-08   8.44e-12   7.08e-07 _13648_
   6.61e-07   4.65e-08   8.44e-12   7.07e-07 _13675_
   6.61e-07   4.54e-08   8.44e-12   7.06e-07 _13664_
   6.61e-07   4.48e-08   8.44e-12   7.06e-07 _13691_
   6.61e-07   4.37e-08   8.44e-12   7.05e-07 _13680_
   6.61e-07   4.31e-08   8.44e-12   7.04e-07 _13667_
   6.61e-07   4.30e-08   8.44e-12   7.04e-07 _13661_
   6.61e-07   4.24e-08   8.44e-12   7.03e-07 _13692_
   6.61e-07   4.19e-08   8.44e-12   7.03e-07 _13645_
   6.61e-07   4.06e-08   8.44e-12   7.02e-07 _13704_
   6.61e-07   4.00e-08   8.44e-12   7.01e-07 _13676_
   6.61e-07   3.95e-08   8.44e-12   7.00e-07 _13651_
   6.61e-07   3.93e-08   8.44e-12   7.00e-07 _13657_
   6.61e-07   3.92e-08   8.44e-12   7.00e-07 _13658_
   6.61e-07   3.86e-08   8.44e-12   6.99e-07 _13707_
   6.61e-07   3.82e-08   8.44e-12   6.99e-07 _14304_
   6.61e-07   3.81e-08   8.44e-12   6.99e-07 _13641_
   6.61e-07   3.79e-08   8.44e-12   6.99e-07 _13642_
   6.61e-07   3.77e-08   8.44e-12   6.99e-07 _13662_
   6.61e-07   3.75e-08   8.44e-12   6.98e-07 _13703_
   6.61e-07   3.73e-08   8.44e-12   6.98e-07 _13671_
   6.61e-07   3.72e-08   8.44e-12   6.98e-07 _13655_
   6.61e-07   3.69e-08   8.44e-12   6.98e-07 _13682_
   6.61e-07   3.69e-08   8.44e-12   6.98e-07 _13668_
   6.61e-07   3.67e-08   8.44e-12   6.98e-07 _13696_
   6.61e-07   3.61e-08   8.44e-12   6.97e-07 _13652_
   6.61e-07   3.61e-08   8.44e-12   6.97e-07 _13685_
   6.61e-07   3.55e-08   8.44e-12   6.97e-07 _13634_
   6.61e-07   3.54e-08   8.44e-12   6.97e-07 _14872_
   6.61e-07   3.54e-08   8.44e-12   6.97e-07 _13556_
   6.61e-07   3.54e-08   8.44e-12   6.97e-07 _13594_
   6.61e-07   3.54e-08   8.44e-12   6.97e-07 _14900_
   6.61e-07   3.54e-08   8.44e-12   6.97e-07 _14852_
   6.61e-07   3.54e-08   8.44e-12   6.97e-07 _14864_
   6.61e-07   3.54e-08   8.44e-12   6.97e-07 _13573_
   6.61e-07   3.58e-08   8.44e-12   6.97e-07 _13705_
   6.61e-07   3.46e-08   8.44e-12   6.95e-07 _13681_
   6.61e-07   3.45e-08   8.44e-12   6.95e-07 _13669_
   6.61e-07   3.42e-08   8.44e-12   6.95e-07 _14305_
   6.61e-07   3.41e-08   8.44e-12   6.95e-07 _13700_
   6.61e-07   3.39e-08   8.44e-12   6.95e-07 _13689_
   6.61e-07   3.39e-08   8.44e-12   6.95e-07 _13684_
   6.61e-07   3.36e-08   8.44e-12   6.94e-07 _13678_
   6.61e-07   3.35e-08   8.44e-12   6.94e-07 _13697_
   6.61e-07   3.35e-08   8.44e-12   6.94e-07 _13654_
   6.61e-07   3.31e-08   8.44e-12   6.94e-07 _13708_
   6.61e-07   3.29e-08   8.44e-12   6.93e-07 _14645_
