   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   6.95e-07   7.43e-08   8.44e-12   7.70e-07 _15640_
   6.95e-07   7.43e-08   8.44e-12   7.70e-07 _15768_
   6.95e-07   7.43e-08   8.44e-12   7.69e-07 _15832_
   6.95e-07   7.43e-08   8.44e-12   7.69e-07 _15704_
   6.94e-07   6.51e-08   8.44e-12   7.60e-07 _15749_
   6.96e-07   6.35e-08   8.44e-12   7.59e-07 _15617_
   6.96e-07   6.35e-08   8.44e-12   7.59e-07 _15745_
   6.82e-07   7.76e-08   8.44e-12   7.59e-07 _16776_
   6.96e-07   6.35e-08   8.44e-12   7.59e-07 _15681_
   6.94e-07   6.48e-08   8.44e-12   7.59e-07 _15614_
   6.94e-07   6.48e-08   8.44e-12   7.59e-07 _15806_
   6.94e-07   6.48e-08   8.44e-12   7.59e-07 _15678_
   6.94e-07   6.48e-08   8.44e-12   7.59e-07 _15742_
   6.96e-07   6.29e-08   8.44e-12   7.59e-07 _15809_
   6.99e-07   5.99e-08   8.44e-12   7.59e-07 _15751_
   6.99e-07   5.99e-08   8.44e-12   7.59e-07 _15759_
   6.95e-07   6.35e-08   8.44e-12   7.58e-07 _15765_
   6.95e-07   6.35e-08   8.44e-12   7.58e-07 _15757_
   6.95e-07   6.35e-08   8.44e-12   7.58e-07 _15829_
   6.95e-07   6.35e-08   8.44e-12   7.58e-07 _15629_
   6.95e-07   6.35e-08   8.44e-12   7.58e-07 _15637_
   6.95e-07   6.35e-08   8.44e-12   7.58e-07 _15701_
   6.95e-07   6.31e-08   8.44e-12   7.58e-07 _15771_
   6.95e-07   6.36e-08   8.44e-12   7.58e-07 _15362_
   6.95e-07   6.36e-08   8.44e-12   7.58e-07 _15490_
   6.95e-07   6.35e-08   8.44e-12   7.58e-07 _15821_
   6.95e-07   6.35e-08   8.44e-12   7.58e-07 _15761_
   6.95e-07   6.35e-08   8.44e-12   7.58e-07 _15693_
   6.95e-07   6.31e-08   8.44e-12   7.58e-07 _15835_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15817_
   6.94e-07   6.36e-08   8.44e-12   7.58e-07 _15554_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15689_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15625_
   6.94e-07   6.36e-08   8.44e-12   7.58e-07 _15451_
   6.94e-07   6.36e-08   8.44e-12   7.58e-07 _15450_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15753_
   6.94e-07   6.36e-08   8.44e-12   7.58e-07 _15515_
   6.94e-07   6.36e-08   8.44e-12   7.58e-07 _15387_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15639_
   6.94e-07   6.36e-08   8.44e-12   7.58e-07 _15386_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15767_
   6.94e-07   6.36e-08   8.44e-12   7.58e-07 _15578_
   6.94e-07   6.36e-08   8.44e-12   7.58e-07 _15579_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15615_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15831_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15707_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15703_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15679_
   6.95e-07   6.29e-08   8.44e-12   7.58e-07 _15743_
   6.95e-07   6.17e-08   8.44e-12   7.57e-07 _15433_
   6.95e-07   6.17e-08   8.44e-12   7.57e-07 _15497_
   6.95e-07   6.17e-08   8.44e-12   7.57e-07 _15561_
   6.95e-07   6.17e-08   8.44e-12   7.57e-07 _15369_
   6.94e-07   6.17e-08   8.44e-12   7.56e-07 _15505_
   6.94e-07   6.17e-08   8.44e-12   7.56e-07 _15569_
   6.94e-07   6.17e-08   8.44e-12   7.56e-07 _15445_
   6.94e-07   6.17e-08   8.44e-12   7.56e-07 _15513_
   6.94e-07   6.17e-08   8.44e-12   7.56e-07 _15509_
   6.94e-07   6.17e-08   8.44e-12   7.56e-07 _15437_
