module,Internal before,Switching before,Leakage before,Total before,Internal after,Switching after,Leakage after,Total after,total power difference,percentage reduction
blabla,0.0018662150000000000257,0.00047434984000000000175,4.49e-08,0.0023434729999999999928,0.001383216999999999994,0.00031997425999999999988,4.59e-08,0.0017080590000000000105,0.00063541399999999998236,27.114201870471730816 %
chacha,0.005401729999999999917,0.0014885040000000000109,4.35e-08,0.006895139999999999929,0.0037778500000000000674,0.00064201546000000000065,4.26e-08,0.004431169999999999992,0.002463969999999999937,35.734879929921654417 %
ldpc_decoder_802_3an,0.0021408009999999999881,0.0019811562000000000013,1.23e-07,0.004124475000000000011,0.003574273999999999998,0.00071965230000000000017,1.33e-07,0.004295014999999999988,-0.00017053999999999997697,-4.1348292813024682298 %
ldpcenc,0.009140166999999999901,0.009955864600000000121,7.46e-08,0.018847430000000000152,0.0074500349999999999522,0.002140662809999999998,6.91e-08,0.009602370000000000019,0.009245060000000000133,49.052098880324797908 %
sp_mul,0.0048821899999999999988,0.0027620653999999999979,1.18e-08,0.0076507900000000000075,0.0037682700000000000054,0.0012050564999999999997,1.11e-08,0.004973770000000000008,0.0026770199999999999996,34.99011213221118338 %
PPU,0.053876999999999998182,0.00927214899999999998,4.38e-08,0.063284000000000000056,0.03776649999999999899,0.0025723481999999999845,4.28e-08,0.040604300000000000905,0.022679699999999999151,35.837968522849376035 %
ula,0.0027389800011599199995,0.0013488770001592550004,1.16e-09,0.0040887500013699999972,0.00023866999993559000003,8.7817999991159e-05,1.17e-09,0.00032656999999000000006,0.0037621800013799999972,92.01296239974130027 %
vm80a,0.005263999999999999999,0.0016123100000000000007,4.55e-09,0.006875899999999999989,0.005233199999999999992,0.00072070279999999999984,4.44e-09,0.0059418000000000000037,0.00093409999999999998515,13.585130673802701998 %
xtea,0.00044036000000000000028,0.00020129399999999999976,6.01e-09,0.00064231000000000000017,0.00036804999999999999984,9.637388e-05,5.7e-09,0.00046433999999999999976,0.00017797000000000000041,27.707804642618050532 %
y_huff,0.011401110000000000406,0.0022069541999999999867,3.76e-08,0.013610559999999999748,0.0093266700000000001005,0.0012374297299999999988,3.64e-08,0.01056435000000000002,0.0030462099999999997276,22.381224578562526333 %
y_quantizer,0.19211139999999999573,0.035425528000000000253,4.53e-08,0.22724820000000000386,0.13510950000000000132,0.017906894000000000008,3.12e-08,0.15265970000000000174,0.074588500000000002116,32.822482202279270352 %
zigzag,0.06643620000000000007,0.014949347999999999897,1.25e-08,0.08143219999999999998,0.04762730000000000049,0.006497772000000000007,9.96e-09,0.05418139999999999992,0.027250800000000000062,33.464403516053846107 %
zipdiv,0.0004769000000000000001,0.00016333309999999999994,2.62e-09,0.00064137000000000000006,0.00035158000000000000014,6.16895e-05,2.56e-09,0.00041378999999999999995,0.00022758000000000000011,35.483418307685111574 %
y_dct,0.0221877300000000004,0.011514509300000000021,2.7e-07,0.03375981999999999973,0.016291970000000000307,0.006154702139999999986,2.68e-07,0.022506000000000000192,0.011253819999999999539,33.334952615268682204 %
jpeg_encoder,0.023191262999999999594,0.012056648100000000342,2.1000000000000000003e-07,0.03449221999999999963,0.018463333000000000824,0.0052551573299999999836,2.0199999999999999997e-07,0.023710530000000000694,0.010781689999999998936,31.258324340967322635 %
aes_cipher,0.004311229999999999997,0.0034159556000000000026,2.65e-08,0.0077374900000000000194,0.0032217399999999999964,0.0014330032999999999994,2.6e-08,0.0046542399999999999925,0.0030832500000000000269,39.848193664870649514 %
sha512,0.005947941000000000197,0.0017640519000000000117,7.47e-08,0.0076849700000000000665,0.0044376999999999999397,0.00088304375000000000145,6.48e-08,0.005322590000000000144,0.0023623799999999999225,30.74026313700638912 %
picorv32a,0.0046281599999999999745,0.0017988010999999999962,4.24e-08,0.0064256599999999999628,0.0034506200000000000167,0.0006404959499999999997,4.15e-08,0.004104590000000000033,0.0023210699999999999297,36.1218925371090276 %
riscv_top_151,0.0011747249999999999999,0.0005962724499999999987,3e-08,0.0017744520000000000058,0.0009001389999999999979,0.00020156038999999999992,2.86e-08,0.0010996850000000000024,0.0006747670000000000034,38.026782353087037646 %
NfiVe32_RF,0.006847850000000000067,0.000989028999999999996,1.76e-08,0.00784298000000000003,0.004717359999999999976,0.00011712479999999999959,1.76e-08,0.004842099999999999997,0.0030008800000000000328,38.261987152842414764 %
