module,all cells Internal before at 0.1,all cells power before at 0.1,ff Internal before at 0.1,ff power before at 0.1,ff Internal before at 1.0,ff power before at 1.0,total power before,all cells Internal after at 0.1,all cells power after at 0.1,ff Internal after at 0.1,ff power after at 0.1,ff Internal after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
blabla,0.00137,0.00158,0.0010634169999999999878,0.0010935489999999999975,0.0015596320000000000135,0.0018570219999999999903,0.0023434729999999999928,0.00141,0.00175,0.0010621089999999999937,0.0010923729999999999887,0.0010353259999999999876,0.0010504319999999999991,0.0017080590000000000105,0.00063541399999999998236,27.114201870471730816 %
chacha,0.00385,0.00432,0.0033333300000000000656,0.003438430000000000054,0.0048850599999999999827,0.006013569999999999983,0.006895139999999999929,0.00387,0.00457,0.0033285700000000000112,0.0034345799999999999991,0.0032364200000000000787,0.003295749999999999991,0.004431169999999999992,0.002463969999999999937,35.734879929921654417 %
ldpc_decoder_802_3an,0.00187,0.0025,0.0011272179999999999934,0.0012775449999999999972,0.0013980189999999999816,0.002902020000000000008,0.004124475000000000011,0.00359,0.00438,0.0011281129999999999962,0.001267030999999999998,0.0011123869999999999942,0.0011820459999999999862,0.004295014999999999988,-0.00017053999999999997697,-4.1348292813024682298 %
ldpcenc,0.0075,0.00954,0.00453985000000000003,0.0054074799999999999864,0.0061800169999999999317,0.014714910000000000138,0.018847430000000000152,0.00754,0.0101,0.0045509600000000000276,0.0053843099999999999656,0.0044609949999999999797,0.004886679999999999984,0.009602370000000000019,0.009245060000000000133,49.052098880324797908 %
sp_mul,0.00358,0.00457,0.0028378100000000000026,0.0030346100000000000023,0.004140000000000000001,0.0061154000000000000098,0.0076507900000000000075,0.00384,0.00513,0.002836249999999999995,0.0030053499999999999924,0.0027645200000000000004,0.0028491200000000000006,0.004973770000000000008,0.0026770199999999999996,34.99011213221118338 %
PPU,0.0378,0.0402,0.03550460000000000119,0.036119499999999999727,0.051581599999999999373,0.059203499999999999785,0.063284000000000000056,0.0389,0.0419,0.035498600000000001037,0.03605649999999999977,0.034365100000000000028,0.034760800000000000678,0.040604300000000000905,0.022679699999999999151,35.837968522849376035 %
ula,0.000335,0.000481,0.00031802000012888,0.0004517502616499999997,0.0027220000012887999994,0.004059500263019999997,0.0040887500013699999972,0.000372,0.000523,0.0003175800001288799999,0.0004438702616499999996,0.00018425000006446999992,0.00024744026163999999967,0.00032656999999000000006,0.0037621800013799999972,92.01296239974130027 %
vm80a,0.00369,0.00411,0.0034170000000000000044,0.0035523999999999999983,0.004991000000000000003,0.0063182999999999999874,0.006875899999999999989,0.00531,0.00608,0.0034170000000000000044,0.0035148999999999999925,0.0033401999999999999964,0.0033766999999999999957,0.0059418000000000000037,0.00093409999999999998515,13.585130673802701998 %
xtea,0.000349,0.00042,0.00029383000000000000023,0.00030850999999999999963,0.0003851900000000000005,0.00053081999999999999977,0.00064231000000000000017,0.000373,0.000476,0.00029388000000000000026,0.00030720000000000000037,0.00028893000000000000009,0.00029554000000000000012,0.00046433999999999999976,0.00017797000000000000041,27.707804642618050532 %
y_huff,0.00807,0.0086,0.0072096099999999998964,0.0073864900000000001735,0.010540720000000000302,0.012397049999999999921,0.013610559999999999748,0.0095,0.0108,0.0072515099999999998785,0.0073601200000000001177,0.0070781799999999999787,0.0071244700000000001377,0.01056435000000000002,0.0030462099999999997276,22.381224578562526333 %
y_quantizer,0.137,0.142,0.120962999999999998116,0.12432619999999999796,0.17607439999999999383,0.20957440000000000182,0.22724820000000000386,0.138,0.156,0.12069599999999999588,0.121384199999999996665,0.117805499999999997214,0.11804389999999999841,0.15265970000000000174,0.074588500000000002116,32.822482202279270352 %
zigzag,0.0475,0.0503,0.041212599999999999763,0.042633000000000000174,0.060148799999999999834,0.073765200000000000156,0.08143219999999999998,0.0487,0.0556,0.041211899999999999773,0.04197839999999999996,0.040139200000000000266,0.040559799999999999878,0.05418139999999999992,0.027250800000000000062,33.464403516053846107 %
zipdiv,0.000336,0.00038,0.00030522999999999999996,0.00031805999999999999986,0.00044613000000000000007,0.0005794299999999999999,0.00064137000000000000006,0.00036,0.000427,0.00030519999999999999993,0.00031536000000000000014,0.00029678000000000000008,0.0003021500000000000001,0.00041378999999999999995,0.00022758000000000000011,35.483418307685111574 %
y_dct,0.0167,0.022,0.011483579999999999851,0.012172230000000000134,0.01697131000000000025,0.023932049999999999863,0.03375981999999999973,0.0166,0.0231,0.0115137499999999999155,0.01211108000000000023,0.011205720000000000223,0.0115170800000000004215,0.022506000000000000192,0.011253819999999999539,33.334952615268682204 %
jpeg_encoder,0.017,0.0212,0.012589866999999999774,0.013459150000000000063,0.018781129999999999369,0.026751369999999999695,0.03449221999999999963,0.0188,0.0244,0.012614600999999999815,0.013372179999999999755,0.012277934000000000639,0.012682710000000000448,0.023710530000000000694,0.010781689999999998936,31.258324340967322635 %
aes_cipher,0.00328,0.00475,0.0022723300000000000096,0.0024896400000000000087,0.0033035600000000000063,0.005477130000000000028,0.0077374900000000000194,0.00328,0.00482,0.0022723300000000000096,0.0024871600000000000191,0.002214070000000000006,0.0023214000000000000114,0.0046542399999999999925,0.0030832500000000000269,39.848193664870649514 %
sha512,0.00456,0.00503,0.0039316049999999998902,0.0040816200000000000396,0.0053195460000000000873,0.0067365900000000001063,0.0076849700000000000665,0.00451,0.00545,0.0039290199999999998874,0.0040440699999999999137,0.0038567199999999998273,0.003916660000000000058,0.005322590000000000144,0.0023623799999999999225,30.74026313700638912 %
picorv32a,0.00331,0.00389,0.002885030000000000014,0.0030171799999999999733,0.0042031899999999999886,0.0055528399999999999364,0.0064256599999999999628,0.00353,0.00424,0.002896430000000000001,0.0030211399999999999744,0.0028170500000000000177,0.0028857300000000000073,0.004104590000000000033,0.0023210699999999999297,36.1218925371090276 %
riscv_top_151,0.000869,0.00103,0.00066744900000000000016,0.0007162979999999999974,0.00097317399999999999996,0.0014607500000000000032,0.0017744520000000000058,0.000917,0.00114,0.0006689980000000000044,0.00071582299999999999655,0.0006521370000000000023,0.0006755079999999999989,0.0010996850000000000024,0.0006747670000000000034,38.026782353087037646 %
NfiVe32_RF,0.00483,0.005,0.0043929600000000000064,0.004484330000000000012,0.0064108100000000000736,0.0073273100000000000418,0.00784298000000000003,0.00483,0.005,0.0043929600000000000064,0.004484330000000000012,0.0042803199999999999824,0.0043264300000000000093,0.004842099999999999997,0.0030008800000000000328,38.261987152842414764 %
