module,all cells leakage before at 0.1,all cells power before at 0.1,ff leakage before at 0.1,ff power before at 0.1,ff leakage before at 1.0,ff power before at 1.0,total power before,all cells leakage after at 0.1,all cells power after at 0.1,ff leakage after at 0.1,ff power after at 0.1,ff leakage after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
blabla,4.49e-08,0.00221,1.3588400000000000269e-08,0.0011397680000000000043,1.3588400000000000269e-08,0.0023203199999999999995,0.0033905519999999999952,4.59e-08,0.00174,1.3588400000000000269e-08,0.0011126579999999999966,1.3588400000000000269e-08,0.0010605290000000000106,0.0016878710000000000141,0.0017026809999999999811,50.218401015527854566 %
chacha,4.35e-08,0.00556,1.6356720000000000396e-08,0.0035077700000000000514,1.6356720000000000396e-08,0.006670590000000000015,0.008722819999999999963,4.26e-08,0.00496,1.6356720000000000396e-08,0.0034663900000000000707,1.6356720000000000396e-08,0.0033119699999999999912,0.004805579999999999921,0.003917240000000000042,44.907954079070759902 %
ldpc_decoder_802_3an,1.23e-07,0.0217,1.7899520000000000333e-08,0.0016470270000000000001,1.7899520000000000333e-08,0.006597219999999999998,0.026650192999999999996,1.33e-07,0.0202,1.7899520000000000333e-08,0.0015652349999999999985,1.7899520000000000333e-08,0.0013311199999999999964,0.019965884999999999998,0.0066843079999999999977,25.08164950250078864 %
ldpcenc,7.46e-08,0.021,1.1928120000000000113e-08,0.0067023099999999999957,1.1928120000000000113e-08,0.02769976999999999995,0.041997459999999999953,6.91e-08,0.0147,1.1962230000000000116e-08,0.0060693599999999999953,1.1962230000000000116e-08,0.0052262700000000000002,0.013856910000000000005,0.028140549999999999949,67.005361752829813944 %
sp_mul,1.18e-08,0.0261,2.4560399999999999965e-09,0.003584600000000000004,2.4560399999999999965e-09,0.011596100000000000001,0.034111499999999999996,1.12e-08,0.0137,2.4560399999999999965e-09,0.004246759999999999999,2.4560399999999999965e-09,0.0034693899999999999992,0.012922630000000000001,0.021188869999999999996,62.116500300485173618 %
PPU,4.38e-08,0.0428,2.4366280000000000764e-08,0.03681270000000000046,2.4366280000000000764e-08,0.06602890000000000093,0.07201620000000000047,4.28e-08,0.0437,2.4366280000000000764e-08,0.036449900000000000494,2.4366280000000000764e-08,0.03504799999999999993,0.042298099999999999436,0.029718100000000001033,41.265854071722752435 %
ula,1.16e-09,0.000484,7.0051999999999999976e-10,0.00045404026164999999967,7.0051999999999999976e-10,0.0040824002631599999987,0.004112360001509999999,1.17e-09,0.000525,7.0051999999999999976e-10,0.00044584026164999999957,7.0051999999999999976e-10,0.0002483902616399999996,0.00032754999999000000004,0.0037848100015199999991,92.034987212458823955 %
vm80a,4.55e-09,0.00485,2.152799999999999997e-09,0.003765299999999999997,2.152799999999999997e-09,0.0084554000000000000026,0.009540100000000000005,4.44e-09,0.00606,2.152799999999999997e-09,0.0035715999999999999964,2.1527999999999999971e-09,0.0034081000000000000017,0.0058965000000000000054,0.0036435999999999999999,38.192471777025398035 %
xtea,6.01e-09,0.0011,1.5644600000000000021e-09,0.00034717999999999999978,1.5644600000000000021e-09,0.0009189699999999999998,0.00167179,5.7e-09,0.00122,1.5644600000000000021e-09,0.00035297000000000000025,1.5644600000000000021e-09,0.0003182400000000000004,0.0011852700000000000001,0.00048651999999999999992,29.101741247405475563 %
y_huff,3.76e-08,0.0088,1.9834000000000000555e-08,0.0075589999999999999716,1.9834000000000000555e-08,0.0140763400000000000975,0.015317340000000000126,3.64e-08,0.0109,1.9994360000000000563e-08,0.0074665199999999999316,1.9994360000000000563e-08,0.00717818999999999992,0.010611669999999999988,0.004705670000000000138,30.721195716749775739 %
y_quantizer,4.53e-08,0.146,2.3800800000000000738e-08,0.12532929999999999924,2.3800800000000000738e-08,0.21993129999999999986,0.24060200000000000063,3.12e-08,0.156,2.3800800000000000738e-08,0.12119920000000000278,2.3800800000000000738e-08,0.11804379999999999841,0.15284459999999999563,0.087757400000000005,36.474094147180823423 %
zigzag,1.25e-08,0.057,6.4903599999999999887e-09,0.044913400000000000133,6.4903599999999999887e-09,0.096929999999999999145,0.10901659999999999901,9.96e-09,0.0577,6.4903599999999999887e-09,0.043110000000000000198,6.4903599999999999887e-09,0.041162199999999999934,0.055752199999999999737,0.053264399999999999277,48.85898110929895058 %
