module,all cells switching before at 0.1,all cells power before at 0.1,ff switching before at 0.1,ff power before at 0.1,ff switching before at 1.0,ff power before at 1.0,total power before,all cells switching after at 0.1,all cells power after at 0.1,ff switching after at 0.1,ff power after at 0.1,ff switching after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
blabla,0.000205,0.00158,2.9927759999999999355e-05,0.0010935489999999999975,0.0002992776000000000011,0.0018570219999999999903,0.0023434729999999999928,0.000335,0.00175,3.0049360000000000083e-05,0.0010923729999999999887,1.5023619999999999961e-05,0.0010504319999999999991,0.0017080590000000000105,0.00063541399999999998236,27.114201870471730816 %
chacha,0.000471,0.00432,0.00011305599999999999932,0.003438430000000000054,0.0011305600000000000102,0.006013569999999999983,0.006895139999999999929,0.000696,0.00457,0.000107936299999999999214,0.0034345799999999999991,5.395175999999999985e-05,0.003295749999999999991,0.004431169999999999992,0.002463969999999999937,35.734879929921654417 %
ldpc_decoder_802_3an,0.000627,0.0025,0.00015046179999999999945,0.0012775449999999999972,0.0015046180000000000008,0.002902020000000000008,0.004124475000000000011,0.000789,0.00438,0.00013869589999999999948,0.001267030999999999998,6.9348199999999999645e-05,0.0011820459999999999862,0.004295014999999999988,-0.00017053999999999997697,-4.1348292813024682298 %
ldpcenc,0.00205,0.00954,0.0008784294000000000005,0.0054074799999999999864,0.008784294000000000121,0.014714910000000000138,0.018847430000000000152,0.00256,0.0101,0.00083890950000000000034,0.0053843099999999999656,0.00041957230999999999824,0.004886679999999999984,0.009602370000000000019,0.009245060000000000133,49.052098880324797908 %
sp_mul,0.000986,0.00457,0.00019734060000000000051,0.0030346100000000000023,0.0019734059999999999984,0.0061154000000000000098,0.0076507900000000000075,0.00129,0.00513,0.0001699072000000000004,0.0030053499999999999924,8.4963700000000000103e-05,0.0028491200000000000006,0.004973770000000000008,0.0026770199999999999996,34.99011213221118338 %
PPU,0.00241,0.0402,0.0007624610000000000078,0.036119499999999999727,0.0076246099999999999875,0.059203499999999999785,0.063284000000000000056,0.00292,0.0419,0.00069538130000000001297,0.03605649999999999977,0.00034772949999999999733,0.034760800000000000678,0.040604300000000000905,0.022679699999999999151,35.837968522849376035 %
ula,0.000146,0.000481,0.00013365300001769500002,0.0004517502616499999997,0.0013365300001769500004,0.004059500263019999997,0.0040887500013699999972,0.000151,0.000523,0.00012633300001768699998,0.0004438702616499999996,6.315100000884599999e-05,0.00024744026163999999967,0.00032656999999000000006,0.0037621800013799999972,92.01296239974130027 %
vm80a,0.000419,0.00411,0.00013258999999999999996,0.0035523999999999999983,0.0013259000000000000008,0.0063182999999999999874,0.006875899999999999989,0.00077,0.00608,9.855820000000000006e-05,0.0035148999999999999925,4.9260999999999999915e-05,0.0033766999999999999957,0.0059418000000000000037,0.00093409999999999998515,13.585130673802701998 %
xtea,7.02e-05,0.00042,1.45660000000000000134e-05,0.00030850999999999999963,0.00014565999999999999977,0.00053081999999999999977,0.00064231000000000000017,0.000103,0.000476,1.3254900000000000002e-05,0.00030720000000000000037,6.6287800000000000007e-06,0.00029554000000000000012,0.00046433999999999999976,0.00017797000000000000041,27.707804642618050532 %
y_huff,0.000534,0.0086,0.0001858838000000000014,0.0073864900000000001735,0.0018588379999999999882,0.012397049999999999921,0.013610559999999999748,0.00129,0.0108,0.00010510010000000000122,0.0073601200000000001177,5.2529830000000000016e-05,0.0071244700000000001377,0.01056435000000000002,0.0030462099999999997276,22.381224578562526333 %
y_quantizer,0.00529,0.142,0.0033483919999999999743,0.12432619999999999796,0.033483920000000000228,0.20957440000000000182,0.22724820000000000386,0.0182,0.156,0.0005862719999999999857,0.121384199999999996665,0.00029316599999999999283,0.11804389999999999841,0.15265970000000000174,0.074588500000000002116,32.822482202279270352 %
zigzag,0.00276,0.0503,0.0013543719999999999946,0.042633000000000000174,0.013543719999999999891,0.073765200000000000156,0.08143219999999999998,0.00689,0.0556,0.00078545599999999998566,0.04197839999999999996,0.00039322799999999999283,0.040559799999999999878,0.05418139999999999992,0.027250800000000000062,33.464403516053846107 %
zipdiv,4.34e-05,0.00038,1.3325900000000000004e-05,0.00031805999999999999986,0.00013325899999999999994,0.0005794299999999999999,0.00064137000000000000006,6.7e-05,0.000427,1.0624800000000000001e-05,0.00031536000000000000014,5.3143000000000000003e-06,0.0003021500000000000001,0.00041378999999999999995,0.00022758000000000000011,35.483418307685111574 %
y_dct,0.00524,0.022,0.0006971677000000000143,0.012172230000000000134,0.0069716770000000000346,0.023932049999999999863,0.03375981999999999973,0.00646,0.0231,0.0006104665000000000247,0.01211108000000000023,0.00030516864000000001058,0.0115170800000000004215,0.022506000000000000192,0.011253819999999999539,33.334952615268682204 %
jpeg_encoder,0.00421,0.0212,0.0008718499000000000007,0.013459150000000000063,0.008718498000000000342,0.026751369999999999695,0.03449221999999999963,0.00565,0.0244,0.00078990040000000000293,0.013372179999999999755,0.00039505772999999998636,0.012682710000000000448,0.023710530000000000694,0.010781689999999998936,31.258324340967322635 %
