module,Internal before,Switching before,Leakage before,Total before,Internal after,Switching after,Leakage after,Total after,total power difference,percentage reduction
blabla,0.0018662150000000000257,0.00047434984000000000175,4.49e-08,0.0023434729999999999928,0.001383216999999999994,0.00031997425999999999988,4.59e-08,0.0017080590000000000105,0.00063541399999999998236,27.114201870471730816 %
chacha,0.005401729999999999917,0.0014885040000000000109,4.35e-08,0.006895139999999999929,0.0038183700000000000733,0.00082854965000000000107,4.21e-08,0.004658970000000000002,0.0022361699999999999273,32.43110364691652309 %
ldpc_decoder_802_3an,0.0021408009999999999881,0.0019811562000000000013,1.23e-07,0.004124475000000000011,0.003574273999999999998,0.00071965230000000000017,1.33e-07,0.004295014999999999988,-0.00017053999999999997697,-4.1348292813024682298 %
ldpcenc,0.009140166999999999901,0.009955864600000000121,7.46e-08,0.018847430000000000152,0.0074500349999999999522,0.002140662809999999998,6.91e-08,0.009602370000000000019,0.009245060000000000133,49.052098880324797908 %
PPU,0.053876999999999998182,0.00927214899999999998,4.38e-08,0.063284000000000000056,0.042198199999913480253,0.0059628760000000000014,3.58e-08,0.048365199999999999783,0.014918800000000000273,23.574363188167625719 %
y_huff,0.011401110000000000406,0.0022069541999999999867,3.76e-08,0.013610559999999999748,0.0093266700000000001005,0.0012374297299999999988,3.64e-08,0.01056435000000000002,0.0030462099999999997276,22.381224578562526333 %
y_quantizer,0.19211139999999999573,0.035425528000000000253,4.53e-08,0.22724820000000000386,0.13510950000000000132,0.017906894000000000008,3.12e-08,0.15265970000000000174,0.074588500000000002116,32.822482202279270352 %
y_dct,0.0221877300000000004,0.011514509300000000021,2.7e-07,0.03375981999999999973,0.016291970000000000307,0.006154702139999999986,2.68e-07,0.022506000000000000192,0.011253819999999999539,33.334952615268682204 %
jpeg_encoder,0.023191262999999999594,0.012056648100000000342,2.1000000000000000003e-07,0.03449221999999999963,0.018463333000000000824,0.0052551573299999999836,2.0199999999999999997e-07,0.023710530000000000694,0.010781689999999998936,31.258324340967322635 %
sha512,0.005947941000000000197,0.0017640519000000000117,7.47e-08,0.0076849700000000000665,0.0044376999999999999397,0.00088304375000000000145,6.48e-08,0.005322590000000000144,0.0023623799999999999225,30.74026313700638912 %
picorv32a,0.0046281599999999999745,0.0017988010999999999962,4.24e-08,0.0064256599999999999628,0.0034394392000000000146,0.0007555345900000000005,3.94e-08,0.004209171800000000022,0.0022164881999999999406,34.494327430956508024 %
riscv_top_151,0.0011747249999999999999,0.0005962724499999999987,3e-08,0.0017744520000000000058,0.0009001389999999999979,0.00020156038999999999992,2.86e-08,0.0010996850000000000024,0.0006747670000000000034,38.026782353087037646 %
genericfir,0.05695038000000000373,0.027298995000000000214,4.51e-07,0.08425307999999999839,0.04318464000000000495,0.012869803099999999904,4.44e-07,0.056124169999999998444,0.028128909999999999947,33.38620973856386079 %
NfiVe32_RF,0.006847850000000000067,0.000989028999999999996,1.76e-08,0.00784298000000000003,0.0047108799999323699773,0.0006777789999897780001,1.4e-08,0.005391049999999999955,0.0024519300000000000752,31.262734317823073191 %
rf_64x64,0.027374750000000000264,0.0040064004999999998744,7e-08,0.031406629999999998458,0.018456479999864600522,0.0027638138999788900044,5.31e-08,0.02123493000000000068,0.010171699999999997778,32.387110619636676326 %
