module,all cells Internal before at 0.1,all cells power before at 0.1,ff Internal before at 0.1,ff power before at 0.1,ff Internal before at 1.0,ff power before at 1.0,total power before,all cells Internal after at 0.1,all cells power after at 0.1,ff Internal after at 0.1,ff power after at 0.1,ff Internal after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
blabla,0.00137,0.00158,0.0010634169999999999878,0.0010935489999999999975,0.0015596320000000000135,0.0018570219999999999903,0.0023434729999999999928,0.00141,0.00175,0.0010621089999999999937,0.0010923729999999999887,0.0010353259999999999876,0.0010504319999999999991,0.0017080590000000000105,0.00063541399999999998236,27.114201870471730816 %
chacha,0.00385,0.00432,0.0033333300000000000656,0.003438430000000000054,0.0048850599999999999827,0.006013569999999999983,0.006895139999999999929,0.00391,0.00479,0.0033280400000000000053,0.0034224699999999999893,0.0032364100000000000786,0.003291439999999999991,0.004658970000000000002,0.0022361699999999999273,32.43110364691652309 %
ldpc_decoder_802_3an,0.00187,0.0025,0.0011272179999999999934,0.0012775449999999999972,0.0013980189999999999816,0.002902020000000000008,0.004124475000000000011,0.00359,0.00438,0.0011281129999999999962,0.001267030999999999998,0.0011123869999999999942,0.0011820459999999999862,0.004295014999999999988,-0.00017053999999999997697,-4.1348292813024682298 %
ldpcenc,0.0075,0.00954,0.00453985000000000003,0.0054074799999999999864,0.0061800169999999999317,0.014714910000000000138,0.018847430000000000152,0.00754,0.0101,0.0045509600000000000276,0.0053843099999999999656,0.0044609949999999999797,0.004886679999999999984,0.009602370000000000019,0.009245060000000000133,49.052098880324797908 %
PPU,0.0378,0.0402,0.03550460000000000119,0.036119499999999999727,0.051581599999999999373,0.059203499999999999785,0.063284000000000000056,0.0432,0.0495,0.034943400000173039727,0.03543490035448000094,0.03394160000008651998,0.03430010035448000072,0.048365199999999999783,0.014918800000000000273,23.574363188167625719 %
y_huff,0.00807,0.0086,0.0072096099999999998964,0.0073864900000000001735,0.010540720000000000302,0.012397049999999999921,0.013610559999999999748,0.0095,0.0108,0.0072515099999999998785,0.0073601200000000001177,0.0070781799999999999787,0.0071244700000000001377,0.01056435000000000002,0.0030462099999999997276,22.381224578562526333 %
y_quantizer,0.137,0.142,0.120962999999999998116,0.12432619999999999796,0.17607439999999999383,0.20957440000000000182,0.22724820000000000386,0.138,0.156,0.12069599999999999588,0.121384199999999996665,0.117805499999999997214,0.11804389999999999841,0.15265970000000000174,0.074588500000000002116,32.822482202279270352 %
y_dct,0.0167,0.022,0.011483579999999999851,0.012172230000000000134,0.01697131000000000025,0.023932049999999999863,0.03375981999999999973,0.0166,0.0231,0.0115137499999999999155,0.01211108000000000023,0.011205720000000000223,0.0115170800000000004215,0.022506000000000000192,0.011253819999999999539,33.334952615268682204 %
jpeg_encoder,0.017,0.0212,0.012589866999999999774,0.013459150000000000063,0.018781129999999999369,0.026751369999999999695,0.03449221999999999963,0.0188,0.0244,0.012614600999999999815,0.013372179999999999755,0.012277934000000000639,0.012682710000000000448,0.023710530000000000694,0.010781689999999998936,31.258324340967322635 %
sha512,0.00456,0.00503,0.0039316049999999998902,0.0040816200000000000396,0.0053195460000000000873,0.0067365900000000001063,0.0076849700000000000665,0.00451,0.00545,0.0039290199999999998874,0.0040440699999999999137,0.0038567199999999998273,0.003916660000000000058,0.005322590000000000144,0.0023623799999999999225,30.74026313700638912 %
picorv32a,0.00331,0.00389,0.002885030000000000014,0.0030171799999999999733,0.0042031899999999999886,0.0055528399999999999364,0.0064256599999999999628,0.00352,0.00434,0.0028447230000000000012,0.0029571079999999999611,0.0027641622000000000159,0.0028262797999999999831,0.004209171800000000022,0.0022164881999999999406,34.494327430956508024 %
riscv_top_151,0.000869,0.00103,0.00066744900000000000016,0.0007162979999999999974,0.00097317399999999999996,0.0014607500000000000032,0.0017744520000000000058,0.000917,0.00114,0.0006689980000000000044,0.00071582299999999999655,0.0006521370000000000023,0.0006755079999999999989,0.0010996850000000000024,0.0006747670000000000034,38.026782353087037646 %
genericfir,0.0415,0.0511,0.03331327999999999769,0.03530031000000000466,0.04876366000000000142,0.06845339000000000305,0.08425307999999999839,0.044,0.0578,0.033312849999999997768,0.03497637000000000143,0.032497490000000002718,0.033300539999999999876,0.056124169999999998444,0.028128909999999999947,33.38620973856386079 %
NfiVe32_RF,0.00483,0.005,0.0043929600000000000064,0.004484330000000000012,0.0064108100000000000736,0.0073273100000000000418,0.00784298000000000003,0.00482,0.00553,0.0042556800001354700054,0.0043165202700800000146,0.0041465600000678399827,0.0041775702700799999693,0.005391049999999999955,0.0024519300000000000752,31.262734317823073191 %
rf_64x64,0.0193,0.02,0.017571839999999999065,0.01794337000000000088,0.025646589999999999329,0.029349999999999999336,0.031406629999999998458,0.0189,0.0218,0.017297280000271079064,0.017551630540159999968,0.016853760000135679586,0.016986560540160000648,0.02123493000000000068,0.010171699999999997778,32.387110619636676326 %
