module,all cells leakage before at 0.1,all cells power before at 0.1,ff leakage before at 0.1,ff power before at 0.1,ff leakage before at 1.0,ff power before at 1.0,total power before,all cells leakage after at 0.1,all cells power after at 0.1,ff leakage after at 0.1,ff power after at 0.1,ff leakage after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
AHB_SRAM,1.02e-09,0.000242,4.186600000000000001e-10,0.0002167800000000000001,4.186600000000000001e-10,0.0003643300000000000001,0.00038955,8.51e-10,0.000299,4.186600000000000002e-10,0.00021529000000000000004,4.186600000000000002e-10,0.00021362612244897959192,0.00029733612244897959187,9.221387755102040813e-05,23.671897715574485466 %
blabla,3.24e-08,0.00104,9.26712000000000007e-09,0.0007468230000000000026,9.26712000000000007e-09,0.001276731999999999987,0.0015699089999999999844,3.27e-08,0.00115,9.26712000000000007e-09,0.00074399099999999999345,9.26712000000000007e-09,0.00071577700000000000315,0.0011217860000000000098,0.00044812299999999997457,28.544520733367346708 %
blake2s,4.69e-08,0.00548,1.5825000000000000371e-08,0.0042013799999999999835,1.5825000000000000371e-08,0.0076639099999999999175,0.008942529999999999935,4.45e-08,0.00603,1.5825000000000000371e-08,0.004165919999999999998,1.5825000000000000371e-08,0.003999686479999999998,0.0058637664799999999997,0.003078763519999999935,34.428327553835435356 %
blake2s_core,3.96e-08,0.00427,1.1419320000000000169e-08,0.0030632399999999999648,1.1419320000000000169e-08,0.005850980000000000017,0.007057740000000000052,3.76e-08,0.00464,1.1419320000000000169e-08,0.0030407099999999999651,1.1419320000000000169e-08,0.0028980100000000000017,0.0044973000000000000365,0.0025604400000000000155,36.278468744952350137 %
blake2s_m_select,1.2e-08,0.00138,4.321279999999999993e-09,0.0011817599999999999993,4.321279999999999993e-09,0.0024419100000000000028,0.0026401500000000000036,1.06e-08,0.00156,4.321279999999999993e-09,0.0011718899999999999947,4.321279999999999993e-09,0.0011071800000000000015,0.0014952900000000000069,0.0011448599999999999967,43.363445258792113902 %
chacha,4.45e-08,0.00434,1.6356720000000000396e-08,0.003438430000000000054,1.6356720000000000396e-08,0.006013569999999999983,0.006915139999999999929,4.31e-08,0.0048,1.6356720000000000396e-08,0.0034224699999999999893,1.6356720000000000396e-08,0.0032940289267285861625,0.004671558926728586173,0.002243581073271413756,32.444477960987250856 %
genericfir,4.55e-07,0.0511,9.810655999999999108e-08,0.035240740000000004532,9.810655999999999108e-08,0.06844222000000000284,0.08430147999999999831,4.3e-07,0.0577,9.810655999999999108e-08,0.034931750000000000506,9.810655999999999108e-08,0.03325016999999999984,0.056018419999999999333,0.02828305999999999898,33.54989734462550307 %
i2c_master,2.42e-09,0.000351,1.2158300000000000014e-09,0.00031763000000000000027,1.2158300000000000014e-09,0.0005455499999999999999,0.0005789199999999999996,2.39e-09,0.000438,1.2412000000000000015e-09,0.00032347000000000000013,1.2412000000000000015e-09,0.0003747481379310344827,0.0004892781379310344826,8.964186206896551701e-05,15.48432634370301891 %
jpeg_encoder,2.08e-07,0.021,3.916251999999999969e-08,0.013263360000000000067,3.9162519999999999703e-08,0.026396849999999999683,0.034133489999999999614,2.01e-07,0.0241,3.9162519999999999687e-08,0.013177959999999999773,3.916251999999999965e-08,0.012499314635618801643,0.02342135463561880187,0.010712135364381197744,31.383065031970647785 %
ldpcenc,7.84e-08,0.00966,1.1928120000000000113e-08,0.0054074799999999999864,1.1928120000000000113e-08,0.014714910000000000138,0.018967430000000000152,7.3e-08,0.0102,1.1962230000000000115e-08,0.0053838399999999999654,1.1962230000000000115e-08,0.005572496909620991223,0.0103886569096209912575,0.008578773090379008894,45.22896929304080113 %
