module,all cells switching before at 0.1,all cells power before at 0.1,ff switching before at 0.1,ff power before at 0.1,ff switching before at 1.0,ff power before at 1.0,total power before,all cells switching after at 0.1,all cells power after at 0.1,ff switching after at 0.1,ff power after at 0.1,ff switching after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
AHB_SRAM,1.35e-05,0.000242,6.879500000000000001e-06,0.0002167800000000000001,6.879499999999999996e-05,0.0003643300000000000001,0.00038955,3.68e-05,0.000299,5.3052999999999999966e-06,0.00021529000000000000004,4.7109102040816326524e-06,0.00021362612244897959192,0.00029733612244897959187,9.221387755102040813e-05,23.671897715574485466 %
blabla,0.000151,0.00104,2.165177999999999971e-05,0.0007468230000000000026,0.0002165178000000000003,0.001276731999999999987,0.0015699089999999999844,0.000239,0.00115,1.9940799999999999976e-05,0.00074399099999999999345,9.972380000000000027e-06,0.00071577700000000000315,0.0011217860000000000098,0.00044812299999999997457,28.544520733367346708 %
blake2s,0.000727,0.00548,0.00017388799999999999725,0.0042013799999999999835,0.0017388799999999999968,0.0076639099999999999175,0.008942529999999999935,0.00119,0.00603,0.00014147820000000000194,0.004165919999999999998,7.286119411199999925e-05,0.003999686479999999998,0.0058637664799999999997,0.003078763519999999935,34.428327553835435356 %
blake2s_core,0.000693,0.00427,0.00015558750000000000028,0.0030632399999999999648,0.0015558750000000000009,0.005850980000000000017,0.007057740000000000052,0.00101,0.00464,0.00013393119999999999955,0.0030407099999999999651,6.69452999999999995e-05,0.0028980100000000000017,0.0044973000000000000365,0.0025604400000000000155,36.278468744952350137 %
blake2s_m_select,0.000139,0.00138,8.296199999999999999e-05,0.0011817599999999999993,0.0008296200000000000003,0.0024419100000000000028,0.0026401500000000000036,0.000268,0.00156,7.2715000000000000166e-05,0.0011718899999999999947,3.6358700000000000008e-05,0.0011071800000000000015,0.0014952900000000000069,0.0011448599999999999967,43.363445258792113902 %
chacha,0.000474,0.00434,0.00011305599999999999932,0.003438430000000000054,0.0011305600000000000102,0.006013569999999999983,0.006915139999999999929,0.000879,0.0048,9.491879999999999934e-05,0.0034224699999999999893,4.8399017131062951938e-05,0.0032940289267285861625,0.004671558926728586173,0.002243581073271413756,32.444477960987250856 %
genericfir,0.00962,0.0511,0.0019755389999999999655,0.035240740000000004532,0.019755390000000000148,0.06844222000000000284,0.08430147999999999831,0.0138,0.0577,0.0016825549000000000986,0.034931750000000000506,0.0008410150999999999921,0.03325016999999999984,0.056018419999999999333,0.02828305999999999898,33.54989734462550307 %
i2c_master,2.52e-05,0.000351,1.0434399999999999994e-05,0.00031763000000000000027,0.00010434399999999999997,0.0005455499999999999999,0.0005789199999999999996,5.26e-05,0.000438,9.930599999999999998e-06,0.00032347000000000000013,3.0338993379310344826e-05,0.0003747481379310344827,0.0004892781379310344826,8.964186206896551701e-05,15.48432634370301891 %
jpeg_encoder,0.0042,0.021,0.0008639786000000000002,0.013263360000000000067,0.0086397840000000003416,0.026396849999999999683,0.034133489999999999614,0.00562,0.0241,0.00078318570000000000224,0.013177959999999999773,0.00039330749285036652365,0.012499314635618801643,0.02342135463561880187,0.010712135364381197744,31.383065031970647785 %
ldpcenc,0.00207,0.00966,0.0008784294000000000005,0.0054074799999999999864,0.008784294000000000121,0.014714910000000000138,0.018967430000000000152,0.00258,0.0102,0.0008383445000000000004,0.0053838399999999999654,0.0009939725580393585962,0.005572496909620991223,0.0103886569096209912575,0.008578773090379008894,45.22896929304080113 %
