module,clock gates,flipflops,clock gated flipflops,cells before,cells after,cells difference
AHB_SRAM,       7,      49,      47,     245,     182,-63
blabla,       0,    1098,       0,   10589,   10589,0
blake2s,      16,    1875,     512,   14225,   14253,28
blake2s_core,       0,    1353,       0,   12872,   12872,0
blake2s_m_select,       0,     512,       0,    4380,    4380,0
chacha,      26,    1938,     832,   12857,   12882,25
genericfir,     128,   11624,    1536,  143703,  145111,1408
i2c_master,      21,     145,     106,     759,     680,-79
jpeg_encoder,     388,    4638,    4637,   63757,   56216,-7541
ldpcenc,      28,    1372,    1273,   19947,   18712,-1235
NfiVe32_RF,      32,    1024,    1024,    3362,    2334,-1028
picorv32a,      85,    1618,    1011,   14348,   12624,-1724
PPU,     405,    2845,    2824,   10156,    6850,-3306
prv32_cpu,      10,     211,     207,    2186,    1662,-524
rf_64x64,      64,    4096,    4096,   13461,    9158,-4303
sha512,      74,    3673,    3669,   20240,   17645,-2595
spi_master,       8,      53,      43,     179,     145,-34
y_dct,       0,    5339,       0,   96737,   96737,0
y_huff,       0,    2351,       0,   11070,   11070,0
y_quantizer,      16,    2820,     176,    8281,    8122,-159
zigzag,      65,     769,     769,    3807,    1591,-2216
