module,Internal before,Switching before,Leakage before,Total before,Internal after,Switching after,Leakage after,Total after,total power difference,percentage reduction
AHB_SRAM,0.00031454000000000025,7.541550000000004e-05,1.02e-09,0.0003895499999999998,0.0002694200000000002,5.331199999999992e-05,8.510000000000001e-10,0.00032218,6.736999999999981e-05,17.294313951995854 %
blabla,0.0012221210000000005,0.00034586601999999614,3.24e-08,0.0015699090000000047,0.0008926880000000322,0.00023009084000000062,3.28e-08,0.0011178110000000336,0.0004520979999999711,28.797720122629382 %
blake2s,0.0066509600000000104,0.002305715000000043,4.72e-08,0.008957740000000056,0.004805540000000178,0.0011291130900001225,4.44e-08,0.005938739999999777,0.0030190000000002793,33.70269733214249 %
blake2s_core,0.004975370000000151,0.0021088685000000117,4.02e-08,0.0070909599999999925,0.0035851600000001383,0.0009514465999999961,3.79e-08,0.004534960000000004,0.002555999999999989,36.045895055112304 %
blake2s_m_select,0.0017619999999999854,0.0008777609999999991,1.26e-08,0.0026457500000000014,0.0012819199999999757,0.00022762789999999786,1.12e-08,0.001508089999999998,0.0011376600000000034,42.999527544174725 %
chacha,0.005411729999999745,0.0014915040000000337,4.45e-08,0.006915139999999977,0.0038928400000001356,0.0008338884999999958,4.3400000000000005e-08,0.004737599999999934,0.002177540000000043,31.489456467982574 %
genericfir,0.05681548999999452,0.02739939020000379,4.54e-07,0.08420020000000096,0.043649859999997355,0.013111926999997612,4.309999999999999e-07,0.05673733000000036,0.027462870000000597,32.61615768133601 %
i2c_master,0.0004600000000000003,0.00011958300000000002,2.42e-09,0.0005793499999999995,0.0004284899999999994,7.415127000000002e-05,2.3199999999999994e-09,0.0005023799999999987,7.697000000000086e-05,13.285578665746254 %
jpeg_encoder,0.02280920600000002,0.011743821800000349,2.0500000000000002e-07,0.03382849000000277,0.01845288000000102,0.00513088120000005,2.009999999999996e-07,0.02360213000000037,0.010226360000002401,30.230022090851715 %
ldpcenc,0.00922913499999994,0.010063264600000529,7.9e-08,0.019051889999999544,0.007739399999999946,0.007983436000000035,7.360000000000001e-08,0.01561513999999909,0.0034367500000004533,18.03889272928059 %
NfiVe32_RF,0.0068478500000000815,0.0009890289999999959,1.76e-08,0.007842980000000081,0.004762559999932331,0.0006865359999897999,1.4e-08,0.005453620000000029,0.002389360000000052,30.464950822264335 %
picorv32a,0.004628199999999977,0.0017941720999999876,4.23e-08,0.006423999999999987,0.003855999199999982,0.0009198471200000061,3.899999999999996e-08,0.004790700199999999,0.0016332997999999876,25.424965753424516 %
PPU,0.053167000000000894,0.009130735000000093,4.43e-08,0.062473499999999384,0.044050700000001414,0.006032798400000034,3.619999999999999e-08,0.05014360000000449,0.01232989999999489,19.736208152248576 %
prv32_cpu,0.0007516299999999981,0.0002756621999999998,8.78e-09,0.0010279299999999996,0.0005888999999999976,0.00014473159000000005,7.65e-09,0.0007342899999999982,0.00029364000000000137,28.566147500316312 %
rf_64x64,0.02737434999999972,0.004005017199999799,7e-08,0.031405260000001434,0.01865899999986298,0.0027634849999794847,5.31e-08,0.021351259999998765,0.010054000000002668,32.013745468122885 %
sha512,0.005964435799999815,0.0018024921000000002,7.69e-08,0.0077336800000003675,0.004488632999999528,0.0008847916899999727,6.69e-08,0.005372590000000409,0.002361089999999958,30.529967622139083 %
spi_master,0.0001624900000000001,3.13196e-05,8.1e-10,0.00019336999999999992,0.00014997999999999992,2.5288140000000016e-05,7.68e-10,0.00017565,1.7719999999999932e-05,9.163779283239354 %
y_huff,0.011466479999999855,0.0022244230999999568,3.74e-08,0.013702460000000145,0.009825369999999518,0.0012490913799998928,3.639999999999984e-08,0.01102409000000052,0.0026783699999996247,19.546636151461826 %
y_quantizer,0.19211140000000831,0.03542552799999835,4.53e-08,0.2272482000000176,0.13918300000000342,0.017952091000001967,3.12e-08,0.1568825000000044,0.07036570000001321,30.96424966182692 %
zigzag,0.06643620000000058,0.014949348000000359,1.25e-08,0.08143219999999962,0.048901099999999996,0.006497772000000045,9.96e-09,0.05541700000000109,0.02601519999999853,31.947067621897297 %
