module,all cells Internal before at 0.1,all cells power before at 0.1,ff Internal before at 0.1,ff power before at 0.1,ff Internal before at 1.0,ff power before at 1.0,total power before,all cells Internal after at 0.1,all cells power after at 0.1,ff Internal after at 0.1,ff power after at 0.1,ff Internal after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
AHB_SRAM,0.000229,0.000242,0.00020989999999999999989,0.0002167800000000000001,0.00029544000000000000007,0.0003643300000000000001,0.00038955,0.000263,0.000299,0.00020993999999999999987,0.00021529000000000000004,0.00020890530612244897962,0.00021362612244897959192,0.0003084261224489795919,8.112387755102040811e-05,20.825023116678323221 %
blabla,0.000887,0.00104,0.0007251569999999999988,0.0007468230000000000026,0.0010602780000000000029,0.001276731999999999987,0.0015699089999999999844,0.000887,0.00104,0.0007251569999999999988,0.0007468230000000000026,0.0010602780000000000029,0.001276731999999999987,0.0015699089999999999844,0.0,0.0 %
blake2s,0.00475,0.00548,0.004026099999999999977,0.0042013799999999999835,0.00592714000000000003,0.0076639099999999999175,0.008942529999999999935,0.00478,0.00565,0.004026099999999999977,0.0041915300000000000016,0.005368429530666666603,0.0065851534453333332732,0.0080564234453333332725,0.00088610655466666666213,9.9089022308750059394 %
blake2s_core,0.00358,0.00427,0.002908939999999999963,0.0030632399999999999648,0.0042944099999999999665,0.005850980000000000017,0.007057740000000000052,0.00358,0.00427,0.002908939999999999963,0.0030632399999999999648,0.0042944099999999999665,0.005850980000000000017,0.007057740000000000052,0.0,0.0 %
blake2s_m_select,0.00124,0.00138,0.0011008000000000000002,0.0011817599999999999993,0.0016128000000000000052,0.0024419100000000000028,0.0026401500000000000036,0.00124,0.00138,0.0011008000000000000002,0.0011817599999999999993,0.0016128000000000000052,0.0024419100000000000028,0.0026401500000000000036,0.0,0.0 %
chacha,0.00386,0.00434,0.0033333300000000000656,0.003438430000000000054,0.0048850599999999999827,0.006013569999999999983,0.006915139999999999929,0.00388,0.00453,0.003333200000000000064,0.0034271200000000000272,0.004167065108359133194,0.004761926522187822475,0.0058830065221878224473,0.0010321334778121774817,14.925706172430022998 %
genericfir,0.0414,0.0511,0.033244639999999997698,0.035240740000000004532,0.048660130000000001562,0.06844222000000000284,0.08430147999999999831,0.0418,0.0521,0.033244639999999997698,0.035253530000000004493,0.046525676847900896073,0.06394024326909841941,0.080919833269098414916,0.0033816467309015833969,4.011372909350563554 %
i2c_master,0.000326,0.000351,0.0003072300000000000001,0.00031763000000000000027,0.00044130000000000000012,0.0005455499999999999999,0.0005789199999999999996,0.000385,0.000438,0.0003135800000000000001,0.00032347000000000000013,0.0003443804137931034484,0.0003747481379310344827,0.00050549813793103448257,7.342186206896551704e-05,12.682557532813776875 %
jpeg_encoder,0.0168,0.021,0.012402229999999999792,0.013263360000000000067,0.018507059999999999384,0.026396849999999999683,0.034133489999999999614,0.0185,0.0241,0.012427122999999999798,0.013177959999999999773,0.012096660659335921266,0.01249931463993100518,0.023804264639931005407,0.010329225360068994207,30.261263527605862526 %
ldpcenc,0.0076,0.00966,0.00453985000000000003,0.0054074799999999999864,0.0061800169999999999317,0.014714910000000000138,0.018967430000000000152,0.00763,0.0102,0.0045510600000000000275,0.0053838399999999999654,0.0045802536574344023127,0.005572496909620991223,0.010422246909620991258,0.008545183090379008894,45.051876244588796826 %
NfiVe32_RF,0.00483,0.005,0.0043929600000000000064,0.004484330000000000012,0.0064108100000000000736,0.0073273100000000000418,0.00784298000000000003,0.00482,0.00553,0.0042556800001354700054,0.0043165202700800000146,0.0041465600000678399827,0.0041775702700799999693,0.0054536199999999999555,0.0023893600000000000746,30.464950822263987226 %
picorv32a,0.00331,0.0039,0.0028850000000000000139,0.0030188499999999999726,0.0042029999999999999875,0.0055681999999999999337,0.0064493499999999999613,0.00344,0.00421,0.0028433400000000000053,0.0029596239999999999606,0.0032952919653893696232,0.0037898744409765141815,0.005101480440976514221,0.0013478695590234857404,20.89930859735455121 %
PPU,0.0373,0.0398,0.034992200000000001257,0.03559889999999999969,0.05083399999999999942,0.058368599999999999816,0.06256970000000000012,0.0431,0.0493,0.03500600000000000023,0.03548090000000000031,0.034073568576449912056,0.0344786009841827775,0.050082900984182777172,0.01248679901581722295,19.956622799561485713 %
prv32_cpu,0.000568,0.000669,0.0004551600000000000005,0.0004744300000000000009,0.00063970999999999999917,0.00083412999999999999966,0.0010286999999999999988,0.000589,0.00074,0.00045558000000000000067,0.00047071999999999999953,0.00044812587677725118563,0.00045894672985781990478,0.0007360167298578199053,0.00029268327014218009346,28.451761460307192943 %
rf_64x64,0.0193,0.02,0.017571839999999999065,0.01794337000000000088,0.025646589999999999329,0.029349999999999999336,0.031406629999999998458,0.019,0.0218,0.017297280000270859062,0.017547870540159999866,0.016853760000135679586,0.016983010540160000662,0.021351440000000000796,0.010055189999999997662,32.01613799379302445 %
sha512,0.00458,0.00505,0.003932104999999999888,0.0040816100000000000397,0.0053197660000000000877,0.006733530000000000111,0.0077019200000000000715,0.00453,0.00547,0.0039290199999999998874,0.0040437499999999999134,0.0038583073585624828115,0.0039193864116526001123,0.005374816411652600198,0.0023271035883473998735,30.214590496232106433 %
spi_master,0.00012,0.000128,0.00011403000000000000003,0.000116459999999999999995,0.00015572999999999999995,0.00018033000000000000001,0.00019187000000000000002,0.000139,0.000157,0.000114010000000000000026,0.000115649999999999999955,0.000119685660377358490535,0.00012394773584905660381,0.00017145773584905660385,2.0412264150943396168e-05,10.638590791131180573 %
y_dct,0.0167,0.022,0.01148421999999999985,0.012176230000000000128,0.016971600000000000238,0.023973469999999999871,0.033797239999999999742,0.0167,0.022,0.01148421999999999985,0.012176230000000000128,0.016971600000000000238,0.023973469999999999871,0.033797239999999999742,0.0,0.0 %
y_huff,0.00808,0.00861,0.0072124099999999998984,0.0073886500000000001825,0.010544640000000000297,0.012391759999999999929,0.013613109999999999745,0.00808,0.00861,0.0072124099999999998984,0.0073886500000000001825,0.010544640000000000297,0.012391759999999999929,0.013613109999999999745,0.0,0.0 %
y_quantizer,0.137,0.142,0.120962999999999998116,0.12432619999999999796,0.17607439999999999383,0.20957440000000000182,0.22724820000000000386,0.137,0.144,0.1209539999999999979,0.12426559999999999766,0.17237380992907800824,0.20339545191489361845,0.2233858519148936208,0.003862348085106383054,1.6996165800681294675 %
zigzag,0.0475,0.0503,0.041212599999999999763,0.042633000000000000174,0.060148799999999999834,0.073765200000000000156,0.08143219999999999998,0.0487,0.0556,0.041211899999999999773,0.04197839999999999996,0.040139200000000000266,0.040559799999999999878,0.055416999999999999917,0.026015200000000000064,31.947067621898954062 %
