module,all cells leakage before at 0.1,all cells power before at 0.1,ff leakage before at 0.1,ff power before at 0.1,ff leakage before at 1.0,ff power before at 1.0,total power before,all cells leakage after at 0.1,all cells power after at 0.1,ff leakage after at 0.1,ff power after at 0.1,ff leakage after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
AHB_SRAM,1.02e-09,0.000242,4.186600000000000001e-10,0.0002167800000000000001,4.186600000000000001e-10,0.0003643300000000000001,0.00038955,8.51e-10,0.000299,4.186600000000000002e-10,0.00021529000000000000004,4.186600000000000002e-10,0.00021362612244897959192,0.0003084261224489795919,8.112387755102040811e-05,20.825023116678323221 %
blabla,3.24e-08,0.00104,9.26712000000000007e-09,0.0007468230000000000026,9.26712000000000007e-09,0.001276731999999999987,0.0015699089999999999844,3.24e-08,0.00104,9.26712000000000007e-09,0.0007468230000000000026,9.26712000000000007e-09,0.001276731999999999987,0.0015699089999999999844,0.0,0.0 %
blake2s,4.69e-08,0.00548,1.5825000000000000371e-08,0.0042013799999999999835,1.5825000000000000371e-08,0.0076639099999999999175,0.008942529999999999935,4.63e-08,0.00565,1.5825000000000000371e-08,0.0041915300000000000016,1.5825000000000000371e-08,0.0065851534453333332732,0.0080564234453333332725,0.00088610655466666666213,9.9089022308750059394 %
blake2s_core,3.96e-08,0.00427,1.1419320000000000169e-08,0.0030632399999999999648,1.1419320000000000169e-08,0.005850980000000000017,0.007057740000000000052,3.96e-08,0.00427,1.1419320000000000169e-08,0.0030632399999999999648,1.1419320000000000169e-08,0.005850980000000000017,0.007057740000000000052,0.0,0.0 %
blake2s_m_select,1.2e-08,0.00138,4.321279999999999993e-09,0.0011817599999999999993,4.321279999999999993e-09,0.0024419100000000000028,0.0026401500000000000036,1.2e-08,0.00138,4.321279999999999993e-09,0.0011817599999999999993,4.321279999999999993e-09,0.0024419100000000000028,0.0026401500000000000036,0.0,0.0 %
chacha,4.45e-08,0.00434,1.6356720000000000396e-08,0.003438430000000000054,1.6356720000000000396e-08,0.006013569999999999983,0.006915139999999999929,4.36e-08,0.00453,1.6356720000000000396e-08,0.0034271200000000000272,1.6356720000000000396e-08,0.004761926522187822475,0.0058830065221878224473,0.0010321334778121774817,14.925706172430022998 %
genericfir,4.55e-07,0.0511,9.810655999999999108e-08,0.035240740000000004532,9.810655999999999108e-08,0.06844222000000000284,0.08430147999999999831,4.37e-07,0.0521,9.810655999999999108e-08,0.035253530000000004493,9.810655999999999107e-08,0.06394024326909841941,0.080919833269098414916,0.0033816467309015833969,4.011372909350563554 %
i2c_master,2.42e-09,0.000351,1.2158300000000000014e-09,0.00031763000000000000027,1.2158300000000000014e-09,0.0005455499999999999999,0.0005789199999999999996,2.39e-09,0.000438,1.2412000000000000015e-09,0.00032347000000000000013,1.2412000000000000015e-09,0.0003747481379310344827,0.00050549813793103448257,7.342186206896551704e-05,12.682557532813776875 %
jpeg_encoder,2.08e-07,0.021,3.916251999999999969e-08,0.013263360000000000067,3.9162519999999999703e-08,0.026396849999999999683,0.034133489999999999614,2.01e-07,0.0241,3.9162519999999999687e-08,0.013177959999999999773,3.916251999999999965e-08,0.01249931463993100518,0.023804264639931005407,0.010329225360068994207,30.261263527605862526 %
ldpcenc,7.84e-08,0.00966,1.1928120000000000113e-08,0.0054074799999999999864,1.1928120000000000113e-08,0.014714910000000000138,0.018967430000000000152,7.3e-08,0.0102,1.1962230000000000115e-08,0.0053838399999999999654,1.1962230000000000115e-08,0.005572496909620991223,0.010422246909620991258,0.008545183090379008894,45.051876244588796826 %
