module,all cells switching before at 0.1,all cells power before at 0.1,ff switching before at 0.1,ff power before at 0.1,ff switching before at 1.0,ff power before at 1.0,total power before,all cells switching after at 0.1,all cells power after at 0.1,ff switching after at 0.1,ff power after at 0.1,ff switching after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
AHB_SRAM,1.35e-05,0.000242,6.879500000000000001e-06,0.0002167800000000000001,6.879499999999999996e-05,0.0003643300000000000001,0.00038955,3.68e-05,0.000299,5.3052999999999999966e-06,0.00021529000000000000004,4.7109102040816326524e-06,0.00021362612244897959192,0.0003084261224489795919,8.112387755102040811e-05,20.825023116678323221 %
blabla,0.000151,0.00104,2.165177999999999971e-05,0.0007468230000000000026,0.0002165178000000000003,0.001276731999999999987,0.0015699089999999999844,0.000151,0.00104,2.165177999999999971e-05,0.0007468230000000000026,0.0002165178000000000003,0.001276731999999999987,0.0015699089999999999844,0.0,0.0 %
blake2s,0.000727,0.00548,0.00017388799999999999725,0.0042013799999999999835,0.0017388799999999999968,0.0076639099999999999175,0.008942529999999999935,0.000865,0.00565,0.00016391610000000000327,0.0041915300000000000016,0.0012139402295253333459,0.0065851534453333332732,0.0080564234453333332725,0.00088610655466666666213,9.9089022308750059394 %
blake2s_core,0.000693,0.00427,0.00015558750000000000028,0.0030632399999999999648,0.0015558750000000000009,0.005850980000000000017,0.007057740000000000052,0.000693,0.00427,0.00015558750000000000028,0.0030632399999999999648,0.0015558750000000000009,0.005850980000000000017,0.007057740000000000052,0.0,0.0 %
blake2s_m_select,0.000139,0.00138,8.296199999999999999e-05,0.0011817599999999999993,0.0008296200000000000003,0.0024419100000000000028,0.0026401500000000000036,0.000139,0.00138,8.296199999999999999e-05,0.0011817599999999999993,0.0008296200000000000003,0.0024419100000000000028,0.0026401500000000000036,0.0,0.0 %
chacha,0.000474,0.00434,0.00011305599999999999932,0.003438430000000000054,0.0011305600000000000102,0.006013569999999999983,0.006915139999999999929,0.000651,0.00453,9.958539999999999982e-05,0.0034271200000000000272,0.00058971341894736842123,0.004761926522187822475,0.0058830065221878224473,0.0010321334778121774817,14.925706172430022998 %
genericfir,0.00962,0.0511,0.0019755389999999999655,0.035240740000000004532,0.019755390000000000148,0.06844222000000000284,0.08430147999999999831,0.0103,0.0521,0.0019890566999999999456,0.035253530000000004493,0.017393653420922230136,0.06394024326909841941,0.080919833269098414916,0.0033816467309015833969,4.011372909350563554 %
i2c_master,2.52e-05,0.000351,1.0434399999999999994e-05,0.00031763000000000000027,0.00010434399999999999997,0.0005455499999999999999,0.0005789199999999999996,5.26e-05,0.000438,9.930599999999999998e-06,0.00032347000000000000013,3.0338993379310344826e-05,0.0003747481379310344827,0.00050549813793103448257,7.342186206896551704e-05,12.682557532813776875 %
jpeg_encoder,0.0042,0.021,0.0008639786000000000002,0.013263360000000000067,0.0086397840000000003416,0.026396849999999999683,0.034133489999999999614,0.00562,0.0241,0.00078318570000000000224,0.013177959999999999773,0.00039330749285036652365,0.01249931463993100518,0.023804264639931005407,0.010329225360068994207,30.261263527605862526 %
ldpcenc,0.00207,0.00966,0.0008784294000000000005,0.0054074799999999999864,0.008784294000000000121,0.014714910000000000138,0.018967430000000000152,0.00258,0.0102,0.0008383445000000000004,0.0053838399999999999654,0.0009939725580393585962,0.005572496909620991223,0.010422246909620991258,0.008545183090379008894,45.051876244588796826 %
NfiVe32_RF,0.000163,0.005,9.178099999999999998e-05,0.004484330000000000012,0.00091780999999999999596,0.0073273100000000000418,0.00784298000000000003,0.000708,0.00553,6.046010002043399977e-05,0.0043165202700800000146,3.0239100010211999872e-05,0.0041775702700799999693,0.0054536199999999999555,0.0023893600000000000746,30.464950822263987226 %
picorv32a,0.000584,0.0039,0.0001365179000000000006,0.0030188499999999999726,0.0013651789999999999949,0.0055681999999999999337,0.0064493499999999999613,0.000764,0.00421,0.000120945229999999999216,0.0029596239999999999606,0.000491513688053152041,0.0037898744409765141815,0.005101480440976514221,0.0013478695590234857404,20.89930859735455121 %
PPU,0.00242,0.0398,0.00075325000000000000684,0.03559889999999999969,0.0075324999999999999902,0.058368599999999999816,0.06256970000000000012,0.00629,0.0493,0.00048965610000000000403,0.03548090000000000031,0.000279077808435852378,0.0344786009841827775,0.050082900984182777172,0.01248679901581722295,19.956622799561485713 %
prv32_cpu,0.000101,0.000669,1.9398400000000000003e-05,0.0004744300000000000009,0.00019398400000000000009,0.00083412999999999999966,0.0010286999999999999988,0.00015,0.00074,1.5477499999999999997e-05,0.00047071999999999999953,1.0532092559241706144e-05,0.00045894672985781990478,0.0007360167298578199053,0.00029268327014218009346,28.451761460307192943 %
rf_64x64,0.000667,0.02,0.00037104450000000000627,0.01794337000000000088,0.0037104449999999998808,0.029349999999999999336,0.031406629999999998458,0.00288,0.0218,0.0002487513000403489931,0.017547870540159999866,0.00012441010002017299888,0.016983010540160000662,0.021351440000000000796,0.010055189999999997662,32.01613799379302445 %
sha512,0.000469,0.00505,0.00014401990000000000025,0.0040816100000000000397,0.0014401990000000000101,0.006733530000000000111,0.0077019200000000000715,0.000943,0.00547,0.00011151300999999999845,0.0040437499999999999134,5.6910247492512932004e-05,0.0039193864116526001123,0.005374816411652600198,0.0023271035883473998735,30.214590496232106433 %
spi_master,7.46e-06,0.000128,2.4654999999999999988e-06,0.000116459999999999999995,2.4654999999999999986e-05,0.00018033000000000000001,0.00019187000000000000002,1.79e-05,0.000157,1.8177999999999999999e-06,0.000115649999999999999955,4.1671883018867924506e-06,0.00012394773584905660381,0.00017145773584905660385,2.0412264150943396168e-05,10.638590791131180573 %
y_dct,0.00524,0.022,0.0007010541000000000123,0.012176230000000000128,0.0070105410000000000356,0.023973469999999999871,0.033797239999999999742,0.00524,0.022,0.0007010541000000000123,0.012176230000000000128,0.0070105410000000000356,0.023973469999999999871,0.033797239999999999742,0.0,0.0 %
y_huff,0.000534,0.00861,0.00018496820000000000139,0.0073886500000000001825,0.0018496819999999999905,0.012391759999999999929,0.013613109999999999745,0.000534,0.00861,0.00018496820000000000139,0.0073886500000000001825,0.0018496819999999999905,0.012391759999999999929,0.013613109999999999745,0.0,0.0 %
y_quantizer,0.00529,0.142,0.0033483919999999999743,0.12432619999999999796,0.033483920000000000228,0.20957440000000000182,0.22724820000000000386,0.00616,0.144,0.0032942719999999999707,0.12426559999999999766,0.030989508448226950816,0.20339545191489361845,0.2233858519148936208,0.003862348085106383054,1.6996165800681294675 %
zigzag,0.00276,0.0503,0.0013543719999999999946,0.042633000000000000174,0.013543719999999999891,0.073765200000000000156,0.08143219999999999998,0.00689,0.0556,0.00078545599999999998566,0.04197839999999999996,0.00039322799999999999283,0.040559799999999999878,0.055416999999999999917,0.026015200000000000064,31.947067621898954062 %
